"","n0_j_bin","n0_y_bin","n0_a_bin","condition","decision","0-162.5","162.5-325","325-487.5","487.5-650"
"249","0-43.75","25-37.5","75-100",3,4,0,0.67816091954023,0.32183908045977,0
"250","0-43.75","25-37.5","75-100",3,5,0,0.78494623655914,0.21505376344086,0
"251","0-43.75","25-37.5","75-100",3,6,0,0.82,0.18,0
"252","0-43.75","25-37.5","75-100",3,7,0,0.666666666666667,0.333333333333333,0
"253","0-43.75","37.5-50","0-25",1,1,1,0,0,0
"254","0-43.75","37.5-50","0-25",1,2,1,0,0,0
"255","0-43.75","37.5-50","0-25",1,3,1,0,0,0
"256","0-43.75","37.5-50","0-25",1,4,1,0,0,0
"257","0-43.75","37.5-50","0-25",1,5,1,0,0,0
"258","0-43.75","37.5-50","0-25",1,6,1,0,0,0
"259","0-43.75","37.5-50","0-25",1,7,1,0,0,0
"260","0-43.75","37.5-50","0-25",2,1,1,0,0,0
"261","0-43.75","37.5-50","0-25",2,2,1,0,0,0
"262","0-43.75","37.5-50","0-25",2,3,1,0,0,0
"263","0-43.75","37.5-50","0-25",2,4,1,0,0,0
"264","0-43.75","37.5-50","0-25",2,5,1,0,0,0
"265","0-43.75","37.5-50","0-25",2,6,1,0,0,0
"266","0-43.75","37.5-50","0-25",2,7,1,0,0,0
"267","0-43.75","37.5-50","0-25",3,1,0.436893203883495,0.563106796116505,0,0
"268","0-43.75","37.5-50","0-25",3,2,0.37037037037037,0.62962962962963,0,0
"269","0-43.75","37.5-50","0-25",3,3,0.471910112359551,0.528089887640449,0,0
"270","0-43.75","37.5-50","0-25",3,4,0.523809523809524,0.476190476190476,0,0
"271","0-43.75","37.5-50","0-25",3,5,0.527777777777778,0.472222222222222,0,0
"272","0-43.75","37.5-50","0-25",3,6,0.528735632183908,0.471264367816092,0,0
"273","0-43.75","37.5-50","0-25",3,7,0.348837209302326,0.651162790697674,0,0
"274","0-43.75","37.5-50","25-50",1,1,1,0,0,0
"275","0-43.75","37.5-50","25-50",1,2,1,0,0,0
"276","0-43.75","37.5-50","25-50",1,3,1,0,0,0
"277","0-43.75","37.5-50","25-50",1,4,1,0,0,0
"278","0-43.75","37.5-50","25-50",1,5,1,0,0,0
"279","0-43.75","37.5-50","25-50",1,6,1,0,0,0
"280","0-43.75","37.5-50","25-50",1,7,1,0,0,0
"281","0-43.75","37.5-50","25-50",2,1,1,0,0,0
"282","0-43.75","37.5-50","25-50",2,2,0.967741935483871,0.032258064516129,0,0
"283","0-43.75","37.5-50","25-50",2,3,1,0,0,0
"284","0-43.75","37.5-50","25-50",2,4,1,0,0,0
"285","0-43.75","37.5-50","25-50",2,5,0.98936170212766,0.0106382978723404,0,0
"286","0-43.75","37.5-50","25-50",2,6,1,0,0,0
"287","0-43.75","37.5-50","25-50",2,7,0.98780487804878,0.0121951219512195,0,0
"288","0-43.75","37.5-50","25-50",3,1,0,1,0,0
"289","0-43.75","37.5-50","25-50",3,2,0.01,0.99,0,0
"290","0-43.75","37.5-50","25-50",3,3,0.0229885057471264,0.977011494252874,0,0
"291","0-43.75","37.5-50","25-50",3,4,0.0133333333333333,0.986666666666667,0,0
"292","0-43.75","37.5-50","25-50",3,5,0,1,0,0
"293","0-43.75","37.5-50","25-50",3,6,0.0102040816326531,0.989795918367347,0,0
"294","0-43.75","37.5-50","25-50",3,7,0,1,0,0
"295","0-43.75","37.5-50","50-75",1,1,0.98989898989899,0.0101010101010101,0,0
"296","0-43.75","37.5-50","50-75",1,2,0.971153846153846,0.0288461538461538,0,0
"297","0-43.75","37.5-50","50-75",1,3,1,0,0,0
"298","0-43.75","37.5-50","50-75",1,4,0.988235294117647,0.0117647058823529,0,0
"299","0-43.75","37.5-50","50-75",1,5,0.989247311827957,0.010752688172043,0,0
"300","0-43.75","37.5-50","50-75",1,6,0.987951807228916,0.0120481927710843,0,0
"301","0-43.75","37.5-50","50-75",1,7,0.966292134831461,0.0337078651685393,0,0
"302","0-43.75","37.5-50","50-75",2,1,0.376470588235294,0.623529411764706,0,0
