"","n0_a_bin","n0_j_bin","condition","decision","mortalityType","0-50","50-100","100-150","150-200"
"319","25-50","131.25-175",2,6,1,1,0,0,0
"320","25-50","131.25-175",2,6,2,0.980414746543779,0.0195852534562212,0,0
"321","25-50","131.25-175",2,7,1,0.984988452655889,0.0150115473441109,0,0
"322","25-50","131.25-175",2,7,2,0.978365384615385,0.0216346153846154,0,0
"323","25-50","131.25-175",3,1,1,0.727694090382387,0.272305909617613,0,0
"324","25-50","131.25-175",3,1,2,0.715437788018433,0.284562211981567,0,0
"325","25-50","131.25-175",3,2,1,0.712962962962963,0.287037037037037,0,0
"326","25-50","131.25-175",3,2,2,0.698394495412844,0.301605504587156,0,0
"327","25-50","131.25-175",3,3,1,0.727790432801822,0.272209567198178,0,0
"328","25-50","131.25-175",3,3,2,0.725925925925926,0.274074074074074,0,0
"329","25-50","131.25-175",3,4,1,0.795508274231678,0.204491725768322,0,0
"330","25-50","131.25-175",3,4,2,0.719169719169719,0.280830280830281,0,0
"331","25-50","131.25-175",3,5,1,0.841794569067296,0.158205430932704,0,0
"332","25-50","131.25-175",3,5,2,0.718457943925234,0.281542056074766,0,0
"333","25-50","131.25-175",3,6,1,0.901785714285714,0.0982142857142857,0,0
"334","25-50","131.25-175",3,6,2,0.733104238258877,0.266895761741123,0,0
"335","25-50","131.25-175",3,7,1,0.720800889877642,0.279199110122358,0,0
"336","25-50","131.25-175",3,7,2,0.708102108768035,0.291897891231964,0,0
"337","50-75","0-43.75",1,1,1,0.806094182825485,0.193905817174515,0,0
"338","50-75","0-43.75",1,1,2,0.800604229607251,0.199395770392749,0,0
"339","50-75","0-43.75",1,2,1,0.79940119760479,0.20059880239521,0,0
"340","50-75","0-43.75",1,2,2,0.80672268907563,0.19327731092437,0,0
"341","50-75","0-43.75",1,3,1,0.80106100795756,0.19893899204244,0,0
"342","50-75","0-43.75",1,3,2,0.779036827195467,0.220963172804533,0,0
"343","50-75","0-43.75",1,4,1,0.870229007633588,0.129770992366412,0,0
"344","50-75","0-43.75",1,4,2,0.783289817232376,0.216710182767624,0,0
"345","50-75","0-43.75",1,5,1,0.902077151335312,0.0979228486646884,0,0
"346","50-75","0-43.75",1,5,2,0.78894472361809,0.21105527638191,0,0
"347","50-75","0-43.75",1,6,1,0.961734693877551,0.038265306122449,0,0
"348","50-75","0-43.75",1,6,2,0.809917355371901,0.190082644628099,0,0
"349","50-75","0-43.75",1,7,1,0.791327913279133,0.208672086720867,0,0
"350","50-75","0-43.75",1,7,2,0.779661016949153,0.220338983050847,0,0
"351","50-75","0-43.75",2,1,1,0.640419947506562,0.359580052493438,0,0
"352","50-75","0-43.75",2,1,2,0.59,0.41,0,0
"353","50-75","0-43.75",2,2,1,0.637119113573407,0.362880886426593,0,0
"354","50-75","0-43.75",2,2,2,0.614730878186969,0.385269121813031,0,0
"355","50-75","0-43.75",2,3,1,0.636363636363636,0.363636363636364,0,0
"356","50-75","0-43.75",2,3,2,0.649171270718232,0.350828729281768,0,0
"357","50-75","0-43.75",2,4,1,0.727979274611399,0.272020725388601,0,0
"358","50-75","0-43.75",2,4,2,0.636856368563686,0.363143631436314,0,0
"359","50-75","0-43.75",2,5,1,0.817438692098093,0.182561307901907,0,0
